date,time,power_linear,power_db
2025-07-24,00:00,7926009421622.678,128.99054584242973
2025-07-24,01:00,7251484147549.33,128.60426901898768
2025-07-24,02:00,7268839218585.399,128.61465062686665
2025-07-24,03:00,7272245350803.323,128.61668522675754
2025-07-24,04:00,7247563393946.835,128.6019202278811
2025-07-24,05:00,7296561975676.572,128.63118275640576
2025-07-24,06:00,10891058263621.58,130.37070081383084
2025-07-24,07:00,8977181526873.19,129.5314000710639
2025-07-24,08:00,9928719672984.814,129.9689324901831
2025-07-24,09:00,41262049352463.65,136.15550794174308
2025-07-24,10:00,27004733347667.156,134.31439893292514
2025-07-24,11:00,34230527555826.508,135.3441359247176
2025-07-24,12:00,33817456013102.105,135.29140933804962
2025-07-24,13:00,40946932442996.14,136.1222137195772
2025-07-24,14:00,30776651673976.844,134.88221369276656
2025-07-24,15:00,28293701159330.4,134.51689762159572
2025-07-24,16:00,29163690339839.094,134.64842478247536
2025-07-24,17:00,15678129724598.836,131.95294253582352
2025-07-24,18:00,14203178300966.115,131.52385539039412
2025-07-24,19:00,9079210129543.904,129.58048067540716
2025-07-24,20:00,7719744251873.832,128.87602912791726
2025-07-24,21:00,7494273479729.802,128.74729537245963
2025-07-24,22:00,7149262836450.258,128.54261263819745
2025-07-24,23:00,7110399875734.562,128.51894025334775
2025-07-25,00:00,7092706550405.762,128.50811991968106
2025-07-25,01:00,7086295037054.8,128.50419230172915
2025-07-25,02:00,7053785549711.733,128.4842225204361
2025-07-25,03:00,7104133120069.425,128.51511090829374
2025-07-25,04:00,7087546749179.175,128.50495936499706
2025-07-25,05:00,7137187143759.526,128.53527084516003
2025-07-25,06:00,7921209036822.882,128.98791474259502
2025-07-25,07:00,13723123288459.982,131.37452965056968
2025-07-25,08:00,19799723958580.652,132.9665913550896
2025-07-25,09:00,12504859171069.465,130.97078805097163
2025-07-25,10:00,17375843101968.96,132.39945886393056
2025-07-25,11:00,26801797469965.547,134.2816392108514
2025-07-25,12:00,22300378538186.777,133.48312235050423
2025-07-25,13:00,25810858977035.043,134.11802457964205
2025-07-25,14:00,38560207589328.71,135.8613936326651
2025-07-25,15:00,24054929868926.31,133.81204095074264
2025-07-25,16:00,36202365920729.18,135.58736953758068
2025-07-25,17:00,15122151051583.205,131.79613571812527
2025-07-25,18:00,12734406061092.729,131.04978694065613
2025-07-25,19:00,13235337746773.973,131.21735028349013
2025-07-25,20:00,9306023281837.426,129.68764134717867
2025-07-25,21:00,7417361342188.802,128.70249436500828
2025-07-25,22:00,7208575535888.284,128.57849453620565
2025-07-25,23:00,7125214906698.954,128.52797967822434
2025-07-26,00:00,7137754605312.085,128.53561612912046
2025-07-26,01:00,7123146928522.399,128.5267190259087
2025-07-26,02:00,7212055023225.82,128.58059031443625
2025-07-26,03:00,7129184553810.596,128.53039857476926
2025-07-26,04:00,7230938195637.324,128.59194649542675
2025-07-26,05:00,7233985189000.516,128.5937761524369
2025-07-26,06:00,7329876887115.063,128.65096680276108
2025-07-26,07:00,9017136501715.59,129.55068644089266
2025-07-26,08:00,11946875102771.777,130.77254323435096
2025-07-26,09:00,20958497641564.64,133.2136014809399
2025-07-26,10:00,44882004229339.47,136.52072242328043
2025-07-26,11:00,47755067116993.28,136.7901945977726
2025-07-26,12:00,32283988015198.273,135.08987177413582
2025-07-26,13:00,30850943531795.074,134.89268450845304
2025-07-26,14:00,40033276282158.15,136.02421133773296
2025-07-26,15:00,42006451106470.84,136.23315991940723
2025-07-26,16:00,30640889195442.805,134.86301364324493
2025-07-26,17:00,15989515991479.145,132.0383531769175
2025-07-26,18:00,14744583099646.865,131.6863249746547
2025-07-26,19:00,13132703544054.604,131.1835414066682
2025-07-26,20:00,10569594693883.303,130.24058333988143
2025-07-26,21:00,11440969391163.424,130.58462823704986
2025-07-26,22:00,8747025101084.685,129.41860372809464
2025-07-26,23:00,8423550988354.375,129.2549520902297
2025-07-27,00:00,8400370202204.308,129.24298425732331
2025-07-27,01:00,8294465091911.778,129.18788383715219
2025-07-27,02:00,8218063163780.738,129.1476947491271
2025-07-27,03:00,8176067481938.97,129.12544467295623
2025-07-27,04:00,8230293740748.557,129.15415335541513
2025-07-27,05:00,8206784021625.62,129.1417300422251
2025-07-27,06:00,10225613758465.984,130.09689384543967
2025-07-27,07:00,8871592532233.754,129.48001586672862
2025-07-27,08:00,10608993777595.045,130.25674194687286
2025-07-27,09:00,16608247175469.025,132.2032379968856
2025-07-27,10:00,21191239131129.484,133.26156352278412
2025-07-27,11:00,36756499091624.73,135.65334139885078
2025-07-27,12:00,34098214566207.727,135.32731639275661
2025-07-27,13:00,31377432180317.125,134.96617399558465
2025-07-27,14:00,48158647243376.0,136.8267427926745
2025-07-27,15:00,29968798602341.336,134.76669333174814
2025-07-27,16:00,21439171880087.63,133.31208006074175
2025-07-27,17:00,13589631301705.86,131.33207674112424
2025-07-27,18:00,9218014935295.896,129.64637407445622
2025-07-27,19:00,8858217532243.592,129.473463410981
2025-07-27,20:00,8976101820017.416,129.5308777034044
2025-07-27,21:00,9179745456888.205,129.62830638913496
2025-07-27,22:00,8694619945444.774,129.39250603106584
2025-07-27,23:00,8539680046338.072,129.3144159941115
2025-07-28,00:00,8449723578920.191,129.268425018357
2025-07-28,01:00,8571953767640.081,129.3307982003277
2025-07-28,02:00,8448286844128.929,129.2676865101212
2025-07-28,03:00,8349079643169.623,129.21638603876093
2025-07-28,04:00,8329438599367.21,129.2061573112909
2025-07-28,05:00,8352100379310.942,129.21795705236596
2025-07-28,06:00,9079300771899.367,129.58052403300957
2025-07-28,07:00,8841651899739.527,129.4653341251532
2025-07-28,08:00,11488555642519.248,130.60265432003067
2025-07-28,09:00,42178117011294.46,136.25087187308202
2025-07-28,10:00,19319796619931.508,132.86002550272727
2025-07-28,11:00,21902195705184.367,133.40487655244013
2025-07-28,12:00,28838886129431.168,134.59978482219944
2025-07-28,13:00,25950679371186.11,134.14148731868298
2025-07-28,14:00,32306312837414.227,135.09287394237344
2025-07-28,15:00,27239067914071.44,134.35192242495475
2025-07-28,16:00,14585987472166.398,131.63935836213724
2025-07-28,17:00,19283326868776.016,132.85181962974914
2025-07-28,18:00,9598761122689.541,129.82215183841706
2025-07-28,19:00,12259413727558.355,130.88469701750557
2025-07-28,20:00,8388156396258.813,129.23666519241922
2025-07-28,21:00,8358700943891.557,129.2213878739866
2025-07-28,22:00,8217408110851.87,129.14734856389427
2025-07-28,23:00,8073221296390.472,129.07046857163712
2025-07-29,00:00,8113264954335.0625,129.09195658934436
2025-07-29,01:00,8191272249054.318,129.13351360592262
2025-07-29,02:00,8032656801851.541,129.04859211971979
2025-07-29,03:00,8079819383532.955,129.07401652654326
2025-07-29,04:00,8148519778435.807,129.11078724023102
2025-07-29,05:00,8174558943134.32,129.12464329683348
2025-07-29,06:00,8495895500678.546,129.29209161957994
2025-07-29,07:00,9655014646317.5,129.8475293692536
2025-07-29,08:00,11266880774173.348,130.51803698648985
2025-07-29,09:00,26585880931679.24,134.24651055375367
2025-07-29,10:00,50157351120290.27,137.00334592730604
2025-07-29,11:00,24973227785981.27,133.97474678476485
2025-07-29,12:00,25749503482052.742,134.10768859121535
2025-07-29,13:00,23769729609791.836,133.76024241482355
2025-07-29,14:00,24250146702407.258,133.847143702312
2025-07-29,15:00,16587820664838.043,132.19789331448897
2025-07-29,16:00,17186786259280.701,132.35194675968975
2025-07-29,17:00,22906024689054.887,133.59949724483562
2025-07-29,18:00,9353324434103.121,129.7096599876294
2025-07-29,19:00,7252454561986.652,128.60485016545329
2025-07-29,20:00,7207851796336.266,128.57805848351825
2025-07-29,21:00,7515925927214.319,128.75982491284714
2025-07-29,22:00,6931169108715.087,128.4080649502165
2025-07-29,23:00,6979224006886.337,128.43807137771879
2025-07-30,00:00,7053470731276.247,128.4840286855661
2025-07-30,01:00,7386453618015.688,128.68435975092888
2025-07-30,02:00,7816197107158.164,128.9299550279257
2025-07-30,03:00,8298999436437.27,129.1902573509559
2025-07-30,04:00,8358734946460.426,129.22140554072462
2025-07-30,05:00,8506686211253.4375,129.29760413146442
2025-07-30,06:00,8683110758117.506,129.38675340736197
2025-07-30,07:00,13647858873686.512,131.35064523004567
2025-07-30,08:00,15583407583060.254,131.92662429761808
2025-07-30,09:00,23713528265516.84,133.74996176173266
2025-07-30,10:00,30013608252072.668,134.77318209678944
2025-07-30,11:00,25754728637678.69,134.10856978336977
2025-07-30,12:00,19543548211205.44,132.9100341448276
2025-07-30,13:00,32928994412601.527,135.17578468406217
2025-07-30,14:00,34694492361683.605,135.4026053741983
2025-07-30,15:00,35764805504093.28,135.5345586760976
2025-07-30,16:00,17319836344796.162,132.38543784050395
2025-07-30,17:00,18371773753607.195,132.64151088489575
2025-07-30,18:00,11746750822491.295,130.69917756394864
2025-07-30,19:00,10105103207118.857,130.04540753482527
2025-07-30,20:00,11574046543464.639,130.6348522448763
2025-07-30,21:00,11658506193267.174,130.66642907748752
2025-07-30,22:00,11106783789424.328,130.45588317741903
2025-07-30,23:00,11053973230518.82,130.43518408513168
